Wavelength (nm),GaAs_n,GaAs_k
2.76E+02,3.6887,3.1453
2.77E+02,3.7134,3.1028
2.78E+02,3.7358,3.0625
2.79E+02,3.7556,3.0209
2.80E+02,3.7855,2.997
2.81E+02,3.801,2.9646
2.81E+02,3.8154,2.9229
2.82E+02,3.8335,2.8795
2.83E+02,3.8403,2.8358
2.84E+02,3.8528,2.7891
2.85E+02,3.8557,2.7392
2.86E+02,3.8586,2.6887
2.87E+02,3.8636,2.6438
2.88E+02,3.8656,2.5922
2.89E+02,3.8672,2.5564
2.90E+02,3.8657,2.5168
2.91E+02,3.8633,2.48
2.92E+02,3.8607,2.448
2.93E+02,3.8518,2.4143
2.95E+02,3.8437,2.3833
2.96E+02,3.8332,2.3594
2.97E+02,3.8259,2.333
2.98E+02,3.8224,2.302
2.99E+02,3.8152,2.277
3.00E+02,3.8094,2.2538
3.01E+02,3.8033,2.2301
3.02E+02,3.7935,2.2059
3.03E+02,3.7823,2.187
3.04E+02,3.7676,2.1664
3.05E+02,3.7529,2.15
3.07E+02,3.7367,2.1338
3.08E+02,3.7245,2.1148
3.09E+02,3.7149,2.0939
3.10E+02,3.7042,2.0767
3.11E+02,3.6972,2.0628
3.12E+02,3.6899,2.052
3.13E+02,3.6843,2.0456
3.15E+02,3.6757,2.0443
3.16E+02,3.6663,2.0385
3.17E+02,3.6569,2.0341
3.18E+02,3.6487,2.0263
3.20E+02,3.6392,2.0161
3.21E+02,3.632,2.0082
3.22E+02,3.6269,1.9989
3.23E+02,3.6218,1.9911
3.25E+02,3.613,1.9861
3.26E+02,3.6094,1.9844
3.27E+02,3.6009,1.9788
3.28E+02,3.596,1.9743
3.30E+02,3.5901,1.9685
3.31E+02,3.5881,1.9621
3.32E+02,3.5845,1.9531
3.34E+02,3.5842,1.95
3.35E+02,3.5837,1.9442
3.36E+02,3.5832,1.9401
3.38E+02,3.5805,1.9408
3.39E+02,3.5797,1.9423
3.41E+02,3.5778,1.9413
3.42E+02,3.5771,1.9448
3.43E+02,3.5749,1.9469
3.45E+02,3.5756,1.9489
3.46E+02,3.5772,1.9502
3.48E+02,3.5797,1.9516
3.49E+02,3.582,1.9543
3.51E+02,3.5848,1.9572
3.52E+02,3.5879,1.96
3.54E+02,3.5909,1.9628
3.55E+02,3.5955,1.9659
3.57E+02,3.5987,1.9695
3.58E+02,3.6035,1.9737
3.60E+02,3.6089,1.9769
3.61E+02,3.6144,1.9808
3.63E+02,3.62,1.9845
3.65E+02,3.6265,1.9892
3.66E+02,3.6332,1.9941
3.68E+02,3.6414,1.9977
3.70E+02,3.6497,2.0037
3.71E+02,3.6595,2.0095
3.73E+02,3.6694,2.0152
3.75E+02,3.6815,2.0224
3.76E+02,3.6933,2.0313
3.78E+02,3.7055,2.0388
3.80E+02,3.7178,2.0469
3.81E+02,3.733,2.0546
3.83E+02,3.7485,2.0623
3.85E+02,3.7659,2.0694
3.87E+02,3.7835,2.0778
3.89E+02,3.8038,2.0861
3.91E+02,3.8255,2.0958
3.92E+02,3.8492,2.1044
3.94E+02,3.8759,2.1126
3.96E+02,3.9044,2.1182
3.98E+02,3.9346,2.1257
4.00E+02,3.9696,2.1307
4.02E+02,4.0064,2.1341
4.04E+02,4.0461,2.1359
4.06E+02,4.0888,2.1351
4.08E+02,4.1333,2.1318
4.10E+02,4.1793,2.1234
4.12E+02,4.2246,2.1101
4.14E+02,4.27,2.0914
4.16E+02,4.3129,2.0688
4.18E+02,4.3532,2.044
4.20E+02,4.3906,2.0154
4.22E+02,4.4262,1.9872
4.25E+02,4.4601,1.9587
4.27E+02,4.4917,1.9312
4.29E+02,4.5237,1.9047
4.31E+02,4.5567,1.8785
4.34E+02,4.5918,1.8546
4.36E+02,4.6301,1.829
4.38E+02,4.6735,1.7989
4.40E+02,4.721,1.7647
4.43E+02,4.7704,1.7222
4.45E+02,4.8213,1.6709
4.48E+02,4.8692,1.6081
4.50E+02,4.9095,1.5384
4.53E+02,4.9404,1.4595
4.55E+02,4.9596,1.3769
4.58E+02,4.9667,1.2947
4.60E+02,4.9627,1.2159
4.63E+02,4.9522,1.1404
4.65E+02,4.9345,1.073
4.68E+02,4.912,1.0102
4.71E+02,4.8861,9.52E-01
4.73E+02,4.8583,9.00E-01
4.76E+02,4.8295,8.53E-01
4.79E+02,4.7991,8.08E-01
4.81E+02,4.7675,7.66E-01
4.84E+02,4.7344,7.30E-01
4.87E+02,4.7021,6.97E-01
4.90E+02,4.671,6.66E-01
4.93E+02,4.6411,6.36E-01
4.96E+02,4.6112,6.09E-01
4.99E+02,4.5824,5.85E-01
5.02E+02,4.5547,5.62E-01
5.05E+02,4.5277,5.40E-01
5.08E+02,4.5009,5.21E-01
5.11E+02,4.4744,5.02E-01
5.14E+02,4.449,4.86E-01
5.18E+02,4.4246,4.69E-01
5.21E+02,4.4005,4.55E-01
5.24E+02,4.3789,4.39E-01
5.28E+02,4.3564,4.25E-01
5.31E+02,4.3355,4.12E-01
5.34E+02,4.3152,3.99E-01
5.38E+02,4.2956,3.87E-01
5.41E+02,4.2764,3.77E-01
5.45E+02,4.2579,3.66E-01
5.49E+02,4.2402,3.57E-01
5.52E+02,4.2226,3.50E-01
5.56E+02,4.2048,3.44E-01
5.60E+02,4.188,3.36E-01
5.64E+02,4.1711,3.29E-01
5.67E+02,4.1551,3.22E-01
5.71E+02,4.1392,3.15E-01
5.75E+02,4.1243,3.08E-01
5.79E+02,4.1092,3.02E-01
5.83E+02,4.0948,2.96E-01
5.88E+02,4.0806,2.89E-01
5.92E+02,4.0668,2.83E-01
5.96E+02,4.0537,2.76E-01
6.00E+02,4.0407,2.70E-01
6.05E+02,4.0284,2.65E-01
6.09E+02,4.0156,2.59E-01
6.14E+02,4.0032,2.54E-01
6.18E+02,3.9911,2.49E-01
6.23E+02,3.9788,2.46E-01
6.28E+02,3.9669,2.42E-01
6.33E+02,3.9559,2.37E-01
6.37E+02,3.9456,2.34E-01
6.42E+02,3.9359,2.30E-01
6.47E+02,3.9263,2.27E-01
6.53E+02,3.9164,2.22E-01
6.58E+02,3.9071,2.18E-01
6.63E+02,3.8981,2.16E-01
6.68E+02,3.8894,2.13E-01
6.74E+02,3.881,2.10E-01
6.79E+02,3.8725,2.05E-01
6.85E+02,3.865,2.02E-01
6.91E+02,3.8577,1.98E-01
6.97E+02,3.8512,1.95E-01
7.02E+02,3.8441,1.89E-01
7.08E+02,3.8368,1.86E-01
7.15E+02,3.8308,1.83E-01
7.21E+02,3.8242,1.80E-01
7.27E+02,3.8188,1.78E-01
7.34E+02,3.8134,1.76E-01
7.40E+02,3.807,1.69E-01
