# From PV Lighthouse LPCVD[Fon11]
wl,n,k,alpha
250,2.058,5.84E-02,29360
260.6,2.055,5.00E-02,24110
271.2,2.052,4.25E-02,19690
281.8,2.049,3.58E-02,15960
292.4,2.045,2.98E-02,12810
303,2.042,2.46E-02,10200
313.6,2.038,1.99E-02,7973
324.2,2.034,1.59E-02,6162
334.8,2.031,1.25E-02,4691
345.5,2.027,9.50E-03,3456
356.1,2.024,7.02E-03,2478
366.7,2.02,4.97E-03,1703
377.3,2.017,3.34E-03,1113
387.9,2.014,2.07E-03,670.6
398.5,2.011,1.14E-03,359.5
409.1,2.008,5.22E-04,160.4
419.7,2.006,1.78E-04,53.24
430.3,2.004,4.75E-05,13.88
440.9,2.002,1.20E-05,3.41
451.5,2,3.19E-06,0.8863
462.1,1.999,1.03E-06,0.28
472.7,1.998,5.03E-07,0.1337
483.3,1.996,3.79E-07,9.85E-02
493.9,1.995,3.58E-07,9.10E-02
504.5,1.994,3.65E-07,9.08E-02
515.2,1.994,3.80E-07,9.26E-02
525.8,1.993,3.97E-07,9.50E-02
536.4,1.992,4.16E-07,9.75E-02
547,1.991,4.35E-07,0.1
557.6,1.991,4.55E-07,0.1026
568.2,1.99,4.75E-07,0.1051
578.8,1.99,4.96E-07,0.1076
589.4,1.989,5.16E-07,0.1101
600,1.989,5.37E-07,0.1125
610.6,1.988,5.59E-07,0.115
621.2,1.988,5.80E-07,0.1174
631.8,1.987,6.02E-07,0.1197
642.4,1.987,6.24E-07,0.1221
653,1.987,6.47E-07,0.1244
663.6,1.986,6.69E-07,0.1267
674.2,1.986,6.92E-07,0.129
684.8,1.986,7.15E-07,0.1312
695.5,1.985,7.38E-07,0.1334
706.1,1.985,7.62E-07,0.1356
716.7,1.985,7.86E-07,0.1378
727.3,1.984,8.10E-07,0.1399
737.9,1.984,8.34E-07,0.142
748.5,1.984,8.58E-07,0.1441
759.1,1.984,8.83E-07,0.1461
769.7,1.984,9.07E-07,0.1481
780.3,1.983,9.32E-07,0.1501
790.9,1.983,9.57E-07,0.152
801.5,1.983,9.82E-07,0.1539
812.1,1.983,1.01E-06,0.1558
822.7,1.983,1.03E-06,0.1577
833.3,1.982,1.06E-06,0.1595
843.9,1.982,1.08E-06,0.1613
854.5,1.982,1.11E-06,0.1631
865.2,1.982,1.14E-06,0.1649
875.8,1.982,1.16E-06,0.1666
886.4,1.982,1.19E-06,0.1683
897,1.982,1.21E-06,0.17
907.6,1.981,1.24E-06,0.1716
918.2,1.981,1.27E-06,0.1732
928.8,1.981,1.29E-06,0.1748
939.4,1.981,1.32E-06,0.1764
950,1.981,1.35E-06,0.1779
960.6,1.981,1.37E-06,0.1794
971.2,1.981,1.40E-06,0.1809
981.8,1.981,1.43E-06,0.1824
992.4,1.981,1.45E-06,0.1838
1003,1.981,1.48E-06,0.1852
1014,1.981,1.51E-06,0.1866
1024,1.98,1.53E-06,0.188
1035,1.98,1.56E-06,0.1893
1045,1.98,1.59E-06,0.1907
1056,1.98,1.61E-06,0.192
1067,1.98,1.64E-06,0.1932
1077,1.98,1.67E-06,0.1945
1088,1.98,1.70E-06,0.1957
1098,1.98,1.72E-06,0.197
1109,1.98,1.75E-06,0.1982
1120,1.98,1.78E-06,0.1993
1130,1.98,1.80E-06,0.2005
1141,1.98,1.83E-06,0.2016
1152,1.98,1.86E-06,0.2027
1162,1.98,1.89E-06,0.2038
1173,1.979,1.91E-06,0.2049
1183,1.979,1.94E-06,0.206
1194,1.979,1.97E-06,0.207
1205,1.979,1.99E-06,0.2081
1215,1.979,2.02E-06,0.2091
1226,1.979,2.05E-06,0.2101
1236,1.979,2.08E-06,0.2111
1247,1.979,2.10E-06,0.212
1258,1.979,2.13E-06,0.213
1268,1.979,2.16E-06,0.2139
1279,1.979,2.19E-06,0.2148
1289,1.979,2.21E-06,0.2157
1300,1.979,2.24E-06,0.2166
