# Refractive index of SiO2 from PVlighthouse
# wl,n,k,alpha
210,1.54,0,0
220,1.53,0,0
230,1.521,0,0
240,1.514,0,0
250,1.508,0,0
260,1.503,0,0
270,1.498,0,0
280,1.494,0,0
290,1.491,0,0
300,1.488,0,0
310,1.485,0,0
320,1.483,0,0
330,1.481,0,0
340,1.479,0,0
350,1.477,0,0
360,1.475,0,0
370,1.474,0,0
380,1.473,0,0
390,1.471,0,0
400,1.47,0,0
410,1.469,0,0
420,1.468,0,0
430,1.467,0,0
440,1.466,0,0
450,1.466,0,0
460,1.465,0,0
470,1.464,0,0
480,1.464,0,0
490,1.463,0,0
500,1.462,0,0
510,1.462,0,0
520,1.461,0,0
530,1.461,0,0
540,1.46,0,0
550,1.46,0,0
560,1.46,0,0
570,1.459,0,0
580,1.459,0,0
590,1.458,0,0
600,1.458,0,0
610,1.458,0,0
620,1.457,0,0
630,1.457,0,0
640,1.457,0,0
650,1.457,0,0
660,1.456,0,0
670,1.456,0,0
680,1.456,0,0
690,1.456,0,0
700,1.455,0,0
710,1.455,0,0
720,1.455,0,0
730,1.455,0,0
740,1.455,0,0
750,1.454,0,0
760,1.454,0,0
770,1.454,0,0
780,1.454,0,0
790,1.454,0,0
800,1.453,0,0
810,1.453,0,0
820,1.453,0,0
830,1.453,0,0
840,1.453,0,0
850,1.453,0,0
860,1.452,0,0
870,1.452,0,0
880,1.452,0,0
890,1.452,0,0
900,1.452,0,0
910,1.452,0,0
920,1.452,0,0
930,1.451,0,0
940,1.451,0,0
950,1.451,0,0
960,1.451,0,0
970,1.451,0,0
980,1.451,0,0
990,1.451,0,0
1000,1.45,0,0
1010,1.45,0,0
1020,1.45,0,0
1030,1.45,0,0
1040,1.45,0,0
1050,1.45,0,0
1060,1.45,0,0
1070,1.45,0,0
1080,1.449,0,0
1090,1.449,0,0
1100,1.449,0,0
1110,1.449,0,0
1120,1.449,0,0
1130,1.449,0,0
1140,1.449,0,0
1150,1.449,0,0
1160,1.449,0,0
1170,1.448,0,0
1180,1.448,0,0
1190,1.448,0,0
1200,1.448,0,0
1210,1.448,0,0
1220,1.448,0,0
1230,1.448,0,0
1240,1.448,0,0
1250,1.447,0,0
1260,1.447,0,0
1270,1.447,0,0
1280,1.447,0,0
1290,1.447,0,0
1300,1.447,0,0
1310,1.447,0,0
1320,1.447,0,0
1330,1.447,0,0
1340,1.446,0,0
1350,1.446,0,0
1360,1.446,0,0
1370,1.446,0,0
1380,1.446,0,0
1390,1.446,0,0
1400,1.446,0,0
1410,1.446,0,0
1420,1.446,0,0
1430,1.445,0,0
1440,1.445,0,0
1450,1.445,0,0
1460,1.445,0,0
1470,1.445,0,0
1480,1.445,0,0
1490,1.445,0,0
1500,1.445,0,0
1510,1.444,0,0
1520,1.444,0,0
1530,1.444,0,0
1540,1.444,0,0
1550,1.444,0,0
1560,1.444,0,0
1570,1.444,0,0
1580,1.444,0,0
1590,1.444,0,0
1600,1.443,0,0
1610,1.443,0,0
1620,1.443,0,0
1630,1.443,0,0
1640,1.443,0,0
1650,1.443,0,0
1660,1.443,0,0
1670,1.443,0,0
1680,1.442,0,0
1690,1.442,0,0
1700,1.442,0,0
1710,1.442,0,0
1720,1.442,0,0
1730,1.442,0,0
1740,1.442,0,0
1750,1.441,0,0
1760,1.441,0,0
1770,1.441,0,0
1780,1.441,0,0
1790,1.441,0,0
1800,1.441,0,0
1810,1.441,0,0
1820,1.441,0,0
1830,1.44,0,0
1840,1.44,0,0
1850,1.44,0,0
1860,1.44,0,0
1870,1.44,0,0
1880,1.44,0,0
1890,1.44,0,0
1900,1.439,0,0
1910,1.439,0,0
1920,1.439,0,0
1930,1.439,0,0
1940,1.439,0,0
1950,1.439,0,0
1960,1.439,0,0
1970,1.438,0,0
1980,1.438,0,0
1990,1.438,0,0
2000,1.438,0,0
