wl,n,k
250,1.665,3.661
260,1.757,4.076
270,2.068,4.684
280,2.959,5.281
290,4.356,5.285
300,4.976,4.226
310,5.121,3.602
320,5.112,3.31
330,5.195,3.099
340,5.301,2.976
350,5.494,2.952
360,6.026,2.979
370,6.891,2.17
380,6.616,0.9465
390,6.039,0.4438
400,5.613,0.296
410,5.33,0.2268
420,5.119,0.1761
430,4.949,0.1376
440,4.812,0.1075
450,4.691,8.63E-02
460,4.587,7.14E-02
470,4.497,6.21E-02
480,4.419,5.50E-02
490,4.35,4.91E-02
500,4.294,4.42E-02
510,4.241,3.94E-02
520,4.193,3.64E-02
530,4.151,3.31E-02
540,4.112,3.03E-02
550,4.077,2.80E-02
560,4.045,2.58E-02
570,4.015,2.41E-02
580,3.988,2.25E-02
590,3.963,2.11E-02
600,3.94,1.99E-02
610,3.918,1.85E-02
620,3.898,1.74E-02
630,3.879,1.64E-02
640,3.861,1.54E-02
650,3.844,1.44E-02
660,3.828,1.35E-02
670,3.813,1.27E-02
680,3.798,1.19E-02
690,3.784,1.12E-02
700,3.772,1.05E-02
710,3.759,1.01E-02
720,3.748,9.63E-03
730,3.737,8.95E-03
740,3.727,8.36E-03
750,3.717,7.82E-03
760,3.708,7.20E-03
770,3.699,6.74E-03
780,3.691,6.39E-03
790,3.683,5.83E-03
800,3.675,5.41E-03
810,3.668,5.00E-03
820,3.661,4.61E-03
830,3.654,4.27E-03
840,3.647,3.94E-03
850,3.641,3.61E-03
860,3.635,3.28E-03
870,3.63,2.98E-03
880,3.624,2.68E-03
890,3.619,2.43E-03
900,3.614,2.17E-03
910,3.609,1.96E-03
920,3.604,1.76E-03
930,3.6,1.55E-03
940,3.595,1.37E-03
950,3.591,1.18E-03
960,3.587,1.02E-03
970,3.583,8.72E-04
980,3.579,7.49E-04
990,3.575,6.22E-04
1000,3.572,5.09E-04
1010,3.568,4.11E-04
1020,3.565,3.24E-04
1030,3.562,2.48E-04
1040,3.559,1.87E-04
1050,3.556,1.36E-04
1060,3.553,9.36E-05
1070,3.55,6.81E-05
1080,3.547,5.33E-05
1090,3.545,4.08E-05
1100,3.542,3.06E-05
1110,3.54,2.39E-05
1120,3.537,1.78E-05
1130,3.535,1.35E-05
1140,3.532,9.07E-06
1150,3.53,6.22E-06
1160,3.528,3.88E-06
1170,3.526,2.05E-06
1180,3.524,6.10E-07
1190,3.522,3.41E-07
1200,3.52,2.10E-07
1210,3.518,1.25E-07
1220,3.517,7.96E-08
1230,3.515,4.60E-08
1240,3.513,2.37E-08
1250,3.511,9.95E-09
1260,3.509,3.61E-09
1270,3.508,2.02E-09
1280,3.506,1.22E-09
1290,3.505,7.29E-10
1300,3.503,4.66E-10
1310,3.502,2.82E-10
1320,3.5,1.68E-10
1330,3.499,8.47E-11
1340,3.497,3.73E-11
1350,3.496,1.83E-11
1360,3.495,1.03E-11
1370,3.494,6.54E-12
1380,3.492,4.17E-12
1390,3.491,2.54E-12
1400,3.49,1.56E-12
1410,3.489,9.54E-13
1420,3.488,5.65E-13
1430,3.487,2.85E-13
1440,3.486,2.06E-13
1450,3.485,1.39E-13
