# From PVLlight House, cite: Physical Review B 27(2), pp. 985–1009, 1983
# wl,n,k,alpha
206.6,1.264,2.472,1.50E+06
208.4,1.273,2.521,1.52E+06
210.1,1.288,2.557,1.53E+06
211.9,1.3,2.591,1.54E+06
213.8,1.311,2.625,1.54E+06
215.6,1.318,2.665,1.55E+06
217.5,1.325,2.71,1.57E+06
219.4,1.336,2.76,1.58E+06
221.4,1.349,2.815,1.60E+06
223.4,1.365,2.873,1.62E+06
225.4,1.383,2.936,1.64E+06
227.5,1.404,3.004,1.66E+06
229.6,1.43,3.079,1.69E+06
231.7,1.461,3.162,1.72E+06
233.9,1.499,3.255,1.75E+06
236.2,1.541,3.361,1.79E+06
238.4,1.599,3.484,1.84E+06
240.7,1.677,3.636,1.90E+06
243.1,1.802,3.795,1.96E+06
245.5,2.012,3.961,2.03E+06
248,2.273,4.084,2.07E+06
250.5,2.583,4.101,2.06E+06
253,2.89,4.047,2.01E+06
255.6,3.139,3.926,1.93E+06
258.3,3.342,3.77,1.83E+06
261,3.488,3.611,1.74E+06
263.8,3.598,3.452,1.64E+06
266.6,3.691,3.306,1.56E+06
269.5,3.769,3.169,1.48E+06
272.5,3.845,3.049,1.41E+06
275.5,3.913,2.919,1.33E+06
278.6,3.978,2.744,1.24E+06
281.8,4.015,2.563,1.14E+06
285,3.991,2.401,1.06E+06
288.3,3.939,2.26,9.85E+05
291.7,3.877,2.152,9.27E+05
295.2,3.81,2.069,8.81E+05
298.8,3.749,2.01,8.45E+05
302.4,3.692,1.969,8.18E+05
306.1,3.643,1.939,7.96E+05
310,3.601,1.92,7.78E+05
313.9,3.566,1.909,7.64E+05
317.9,3.538,1.904,7.53E+05
322,3.517,1.904,7.43E+05
326.3,3.501,1.909,7.35E+05
330.6,3.49,1.918,7.29E+05
335.1,3.485,1.931,7.24E+05
339.7,3.487,1.946,7.20E+05
344.4,3.495,1.965,7.17E+05
349.3,3.51,1.987,7.15E+05
354.2,3.531,2.013,7.14E+05
359.4,3.559,2.042,7.14E+05
364.7,3.596,2.076,7.15E+05
370.1,3.642,2.115,7.18E+05
375.7,3.709,2.162,7.23E+05
381.5,3.803,2.239,7.38E+05
387.5,3.938,2.288,7.42E+05
393.6,4.161,2.237,7.14E+05
399.9,4.373,2.146,6.74E+05
406.5,4.434,2.052,6.34E+05
413.3,4.509,1.948,5.92E+05
420.3,4.795,1.868,5.58E+05
427.5,5.052,1.721,5.06E+05
435,5.056,1.36,3.93E+05
442.8,4.959,0.991,2.81E+05
450.9,4.833,0.8077,2.25E+05
459.2,4.694,0.696,1.91E+05
467.9,4.586,0.6052,1.63E+05
476.9,4.492,0.539,1.42E+05
486.2,4.408,0.4846,1.25E+05
495.9,4.333,0.441,1.12E+05
506.1,4.266,0.4031,1.00E+05
516.6,4.205,0.371,90250
527.6,4.15,0.3439,81900
539.1,4.1,0.32,74590
551,4.055,0.2971,67750
563.6,4.013,0.276,61540
576.7,3.975,0.2571,56010
590.4,3.94,0.24,51080
604.8,3.908,0.2253,46800
619.9,3.878,0.211,42770
635.8,3.851,0.1949,38530
652.5,3.826,0.179,34470
670.2,3.805,0.1654,31020
688.8,3.785,0.151,27550
708.5,3.764,0.1311,23250
729.3,3.742,0.112,19300
751.4,3.72,9.98E-02,16680
774.9,3.7,9.10E-02,14760
799.9,3.684,8.91E-02,13990
826.6,3.666,8.00E-02,12160
855.1,3.643,4.03E-02,5917
885.6,3.614,1.69E-03,239.8
918.4,3.576,4.05E-03,554
953.7,3.539,0,0
991.9,3.513,1.06E-04,13.43
1033,3.492,0,0
1078,3.472,0,0
1127,3.455,0,0
1181,3.438,0,0
1240,3.423,0,0
1305,3.409,0,0
1378,3.397,0,0
1459,3.385,0,0
1550,3.374,0,0
1653,3.364,0,0
1771,3.354,0,0
1907,3.346,0,0
2066,3.338,0,0
2254,3.331,0,0
2480,3.324,0,0
