Wavelength (nm),Si100_2_n,Si100_2_k
2.30E+02,1.52474,3.623835
2.32E+02,1.643554,3.495514
2.34E+02,1.69363,3.436738
2.36E+02,1.700266,3.425202
2.38E+02,1.689546,3.438651
2.40E+02,1.682086,3.451755
2.42E+02,1.679156,3.460002
2.44E+02,1.683106,3.510112
2.46E+02,1.68258,3.563507
2.48E+02,1.684318,3.620427
2.50E+02,1.694919,3.680298
2.52E+02,1.711586,3.746092
2.54E+02,1.735745,3.822044
2.56E+02,1.747415,3.907512
2.58E+02,1.778247,3.996065
2.60E+02,1.805762,4.095017
2.62E+02,1.847403,4.20295
2.64E+02,1.90089,4.314125
2.66E+02,1.966788,4.443078
2.68E+02,2.043711,4.581435
2.70E+02,2.154056,4.724329
2.72E+02,2.296793,4.868192
2.74E+02,2.466137,4.997114
2.76E+02,2.651593,5.112203
2.78E+02,2.871046,5.206655
2.80E+02,3.099788,5.274563
2.82E+02,3.330338,5.320352
2.84E+02,3.60146,5.353638
2.86E+02,3.895566,5.351128
2.88E+02,4.203012,5.281437
2.90E+02,4.490594,5.127031
2.92E+02,4.729249,4.913552
2.94E+02,4.887653,4.681839
2.96E+02,4.98159,4.464229
2.98E+02,5.033178,4.266419
3.00E+02,5.06448,4.093587
3.02E+02,5.078412,3.945227
3.04E+02,5.079936,3.821289
3.06E+02,5.077194,3.713977
3.08E+02,5.073672,3.621002
3.10E+02,5.076739,3.539562
3.12E+02,5.074158,3.468227
3.14E+02,5.080665,3.406529
3.16E+02,5.087031,3.351553
3.18E+02,5.091307,3.304618
3.20E+02,5.106307,3.257218
3.22E+02,5.112141,3.219397
3.24E+02,5.123553,3.180842
3.26E+02,5.14194,3.143407
3.28E+02,5.165942,3.109269
3.30E+02,5.183555,3.076779
3.32E+02,5.198738,3.046669
3.34E+02,5.225777,3.015945
3.36E+02,5.250291,2.992126
3.38E+02,5.274298,2.968669
3.40E+02,5.301243,2.947376
3.42E+02,5.333894,2.931836
3.44E+02,5.365488,2.919171
3.46E+02,5.401497,2.910261
3.48E+02,5.444793,2.904168
3.50E+02,5.497814,2.904005
3.52E+02,5.562315,2.908919
3.54E+02,5.644081,2.918769
3.56E+02,5.752216,2.924598
3.58E+02,5.885999,2.92787
3.60E+02,6.054917,2.903086
3.62E+02,6.253661,2.82993
3.64E+02,6.462765,2.700959
3.66E+02,6.651894,2.511858
3.68E+02,6.797713,2.267351
3.70E+02,6.884267,1.991018
3.72E+02,6.908372,1.701323
3.74E+02,6.8659,1.431818
3.76E+02,6.770719,1.191758
3.78E+02,6.651631,9.98E-01
3.80E+02,6.5202,8.46E-01
3.82E+02,6.379892,7.19E-01
3.84E+02,6.259579,6.28E-01
3.86E+02,6.151734,5.56E-01
3.88E+02,6.049011,4.98E-01
3.90E+02,5.952566,4.48E-01
3.92E+02,5.864153,4.07E-01
3.94E+02,5.787899,3.73E-01
3.96E+02,5.710871,3.42E-01
3.98E+02,5.637747,3.15E-01
4.00E+02,5.572279,2.92E-01
4.02E+02,5.509209,2.71E-01
4.04E+02,5.449704,2.54E-01
4.06E+02,5.395342,2.39E-01
4.08E+02,5.341262,2.24E-01
4.10E+02,5.29125,2.12E-01
4.12E+02,5.244595,2.00E-01
4.14E+02,5.201213,1.90E-01
4.16E+02,5.158926,1.80E-01
4.18E+02,5.117064,1.71E-01
4.20E+02,5.08015,1.63E-01
4.22E+02,5.044519,1.56E-01
4.24E+02,5.008751,1.49E-01
4.26E+02,4.976461,1.43E-01
4.28E+02,4.944397,1.37E-01
4.30E+02,4.915719,1.31E-01
4.32E+02,4.887444,1.26E-01
4.34E+02,4.860158,1.22E-01
4.36E+02,4.83602,1.17E-01
4.38E+02,4.810354,1.14E-01
4.40E+02,4.785422,1.09E-01
4.42E+02,4.761088,1.06E-01
4.44E+02,4.737557,1.02E-01
4.46E+02,4.713535,9.85E-02
4.48E+02,4.690823,9.52E-02
4.50E+02,4.668692,9.12E-02
4.52E+02,4.64783,8.86E-02
4.54E+02,4.627556,8.59E-02
4.56E+02,4.607913,8.34E-02
4.58E+02,4.588824,8.11E-02
4.60E+02,4.57017,7.89E-02
4.62E+02,4.551804,7.69E-02
4.64E+02,4.534009,7.48E-02
4.66E+02,4.517099,7.24E-02
4.68E+02,4.500906,6.99E-02
4.70E+02,4.485168,6.76E-02
4.72E+02,4.469703,6.60E-02
4.74E+02,4.454513,6.46E-02
4.76E+02,4.439414,6.31E-02
4.78E+02,4.424532,6.15E-02
4.80E+02,4.410096,5.99E-02
4.82E+02,4.396318,5.85E-02
4.84E+02,4.38282,5.71E-02
4.86E+02,4.369113,5.57E-02
4.88E+02,4.355542,5.42E-02
4.90E+02,4.342686,5.28E-02
4.92E+02,4.331053,5.16E-02
4.94E+02,4.319961,5.04E-02
4.96E+02,4.309062,4.92E-02
4.98E+02,4.298246,4.81E-02
5.00E+02,4.287354,4.70E-02
5.02E+02,4.276139,4.61E-02
5.04E+02,4.265127,4.51E-02
5.06E+02,4.254852,4.39E-02
5.08E+02,4.245113,4.27E-02
5.10E+02,4.235581,4.16E-02
5.12E+02,4.226032,4.08E-02
5.14E+02,4.216541,4.01E-02
5.16E+02,4.206972,3.93E-02
5.18E+02,4.197457,3.85E-02
5.20E+02,4.1882,3.77E-02
5.22E+02,4.179378,3.69E-02
5.24E+02,4.170822,3.61E-02
5.26E+02,4.162436,3.55E-02
5.28E+02,4.154256,3.49E-02
5.30E+02,4.146404,3.43E-02
5.32E+02,4.139019,3.37E-02
5.34E+02,4.131583,3.31E-02
5.36E+02,4.123291,3.22E-02
5.38E+02,4.114692,3.13E-02
5.40E+02,4.106707,3.05E-02
5.42E+02,4.100134,3.02E-02
5.44E+02,4.093941,3.01E-02
5.46E+02,4.087451,2.97E-02
5.48E+02,4.08076,2.93E-02
5.50E+02,4.074083,2.88E-02
5.52E+02,4.067522,2.83E-02
5.54E+02,4.060969,2.77E-02
5.56E+02,4.054329,2.71E-02
5.58E+02,4.047673,2.65E-02
5.60E+02,4.041083,2.59E-02
5.62E+02,4.034606,2.52E-02
