# Refractive index of TiO2
# Source: https://www2.pvlighthouse.com.au/resources/photovoltaic%20materials/refractive%20index/refractive%20index.aspx
# Details: TiCl4 & H2O precursors
# Reference: Cite this reference when publishing results that incorporate the data below.
# [Cui16] J. Cui, T. Allen, Y. Wan, J. McKeon, C. Samundsett,
# D. Yan, X. Zhang, Y. Cui, Y. Chen, e. al., et al.,'Titanium oxide:
# A re-emerging optical and passivating material for silicon solar cells',
# Solar Energy Materials & Solar Cells 158, pp. 115–121, 2016.
# wl,n,k,alpha
301.4,3.127,0.6862,2.86E+05
302.9,3.13,0.6605,2.74E+05
304.5,3.133,0.6348,2.62E+05
306.1,3.134,0.6091,2.50E+05
307.7,3.135,0.5833,2.38E+05
309.3,3.135,0.5577,2.27E+05
310.9,3.134,0.5321,2.15E+05
312.5,3.133,0.5067,2.04E+05
314.1,3.13,0.481,1.93E+05
315.6,3.127,0.456,1.82E+05
317.2,3.122,0.4315,1.71E+05
318.8,3.117,0.4069,1.60E+05
320.4,3.111,0.3827,1.50E+05
322,3.105,0.3588,1.40E+05
323.6,3.097,0.3353,1.30E+05
325.2,3.089,0.3122,1.21E+05
326.8,3.08,0.2896,1.11E+05
328.4,3.07,0.2675,1.02E+05
329.9,3.059,0.246,93710
331.5,3.048,0.2251,85330
333.1,3.036,0.2049,77290
334.7,3.023,0.1853,69570
336.3,3.009,0.1665,62200
337.9,2.995,0.1484,55190
339.5,2.98,0.1312,48550
341.1,2.965,0.1148,42290
342.7,2.949,9.93E-02,36420
344.2,2.933,8.48E-02,30950
345.8,2.916,7.13E-02,25890
347.4,2.899,5.88E-02,21260
349,2.882,4.74E-02,17050
350.6,2.864,3.71E-02,13290
352.2,2.847,2.80E-02,9979
353.8,2.829,2.01E-02,7127
355.4,2.811,1.34E-02,4742
357,2.794,8.05E-03,2834
358.6,2.777,4.02E-03,1410
360.1,2.76,1.36E-03,475
361.7,2.744,1.04E-04,36.13
363.3,2.73,0,0
364.9,2.717,0,0
366.5,2.706,0,0
368.1,2.694,0,0
369.7,2.684,0,0
371.3,2.674,0,0
372.9,2.665,0,0
374.4,2.656,0,0
376,2.647,0,0
377.6,2.639,0,0
379.2,2.631,0,0
380.8,2.623,0,0
382.4,2.616,0,0
384,2.609,0,0
385.6,2.602,0,0
387.2,2.595,0,0
388.8,2.589,0,0
390.3,2.582,0,0
391.9,2.576,0,0
393.5,2.57,0,0
395.1,2.565,0,0
396.7,2.559,0,0
398.3,2.554,0,0
399.9,2.548,0,0
401.5,2.543,0,0
403.1,2.538,0,0
404.6,2.534,0,0
406.2,2.529,0,0
407.8,2.524,0,0
409.4,2.52,0,0
411,2.515,0,0
412.6,2.511,0,0
414.2,2.507,0,0
415.8,2.503,0,0
417.4,2.499,0,0
419,2.495,0,0
420.5,2.491,0,0
422.1,2.487,0,0
423.7,2.484,0,0
425.3,2.48,0,0
426.9,2.477,0,0
428.5,2.473,0,0
430.1,2.47,0,0
431.7,2.466,0,0
433.3,2.463,0,0
434.9,2.46,0,0
436.4,2.457,0,0
438,2.454,0,0
439.6,2.451,0,0
441.2,2.448,0,0
442.8,2.445,0,0
444.4,2.442,0,0
446,2.439,0,0
447.6,2.437,0,0
449.2,2.434,0,0
450.8,2.431,0,0
452.3,2.429,0,0
453.9,2.426,0,0
455.5,2.424,0,0
457.1,2.421,0,0
458.7,2.419,0,0
460.3,2.417,0,0
461.9,2.414,0,0
463.5,2.412,0,0
465.1,2.41,0,0
466.6,2.407,0,0
468.2,2.405,0,0
469.8,2.403,0,0
471.4,2.401,0,0
473,2.399,0,0
474.6,2.397,0,0
476.2,2.395,0,0
477.8,2.393,0,0
479.4,2.391,0,0
481,2.389,0,0
482.5,2.387,0,0
484.1,2.385,0,0
485.7,2.383,0,0
487.3,2.382,0,0
488.9,2.38,0,0
490.5,2.378,0,0
492.1,2.376,0,0
493.7,2.375,0,0
495.3,2.373,0,0
496.8,2.371,0,0
498.4,2.37,0,0
500,2.368,0,0
501.6,2.366,0,0
503.2,2.365,0,0
504.8,2.363,0,0
506.4,2.362,0,0
508,2.36,0,0
509.6,2.359,0,0
511.1,2.357,0,0
512.7,2.356,0,0
514.3,2.354,0,0
515.9,2.353,0,0
517.5,2.351,0,0
519.1,2.35,0,0
520.7,2.349,0,0
522.3,2.347,0,0
523.9,2.346,0,0
525.4,2.345,0,0
527,2.343,0,0
528.6,2.342,0,0
530.2,2.341,0,0
531.8,2.34,0,0
533.4,2.338,0,0
535,2.337,0,0
536.6,2.336,0,0
538.2,2.335,0,0
539.7,2.334,0,0
541.3,2.332,0,0
542.9,2.331,0,0
544.5,2.33,0,0
546.1,2.329,0,0
547.7,2.328,0,0
549.3,2.327,0,0
550.9,2.326,0,0
552.4,2.325,0,0
554,2.324,0,0
555.6,2.323,0,0
557.2,2.322,0,0
558.8,2.32,0,0
560.4,2.319,0,0
562,2.318,0,0
563.6,2.317,0,0
565.1,2.317,0,0
566.7,2.316,0,0
568.3,2.315,0,0
569.9,2.314,0,0
571.5,2.313,0,0
573.1,2.312,0,0
574.7,2.311,0,0
576.3,2.31,0,0
577.8,2.309,0,0
579.4,2.308,0,0
581,2.307,0,0
582.6,2.306,0,0
584.2,2.306,0,0
585.8,2.305,0,0
587.4,2.304,0,0
589,2.303,0,0
590.5,2.302,0,0
592.1,2.301,0,0
593.7,2.301,0,0
595.3,2.3,0,0
596.9,2.299,0,0
598.5,2.298,0,0
600.1,2.297,0,0
601.6,2.297,0,0
603.2,2.296,0,0
604.8,2.295,0,0
606.4,2.294,0,0
608,2.294,0,0
609.6,2.293,0,0
611.2,2.292,0,0
612.7,2.292,0,0
614.3,2.291,0,0
615.9,2.29,0,0
617.5,2.289,0,0
619.1,2.289,0,0
620.7,2.288,0,0
622.3,2.287,0,0
623.8,2.287,0,0
625.4,2.286,0,0
627,2.285,0,0
628.6,2.285,0,0
630.2,2.284,0,0
631.8,2.283,0,0
633.4,2.283,0,0
634.9,2.282,0,0
636.5,2.282,0,0
638.1,2.281,0,0
639.7,2.28,0,0
641.3,2.28,0,0
642.9,2.279,0,0
644.4,2.279,0,0
646,2.278,0,0
647.6,2.277,0,0
649.2,2.277,0,0
650.8,2.276,0,0
652.4,2.276,0,0
653.9,2.275,0,0
655.5,2.275,0,0
657.1,2.274,0,0
658.7,2.273,0,0
660.3,2.273,0,0
661.9,2.272,0,0
663.4,2.272,0,0
665,2.271,0,0
666.6,2.271,0,0
668.2,2.27,0,0
669.8,2.27,0,0
671.4,2.269,0,0
672.9,2.269,0,0
674.5,2.268,0,0
676.1,2.268,0,0
677.7,2.267,0,0
679.3,2.267,0,0
680.9,2.266,0,0
682.4,2.266,0,0
684,2.265,0,0
685.6,2.265,0,0
687.2,2.264,0,0
688.8,2.264,0,0
690.3,2.263,0,0
691.9,2.263,0,0
693.5,2.262,0,0
695.1,2.262,0,0
696.7,2.262,0,0
698.3,2.261,0,0
699.8,2.261,0,0
701.4,2.26,0,0
703,2.26,0,0
704.6,2.259,0,0
706.2,2.259,0,0
707.7,2.259,0,0
709.3,2.258,0,0
710.9,2.258,0,0
712.5,2.257,0,0
714.1,2.257,0,0
715.6,2.256,0,0
717.2,2.256,0,0
718.8,2.256,0,0
720.4,2.255,0,0
722,2.255,0,0
723.5,2.254,0,0
725.1,2.254,0,0
726.7,2.254,0,0
728.3,2.253,0,0
729.9,2.253,0,0
731.4,2.253,0,0
733,2.252,0,0
734.6,2.252,0,0
736.2,2.251,0,0
